date=05-12-2024, time=11:35:25, id=18, deviceList=111111000000000000000000, readList=100010000000000000000000, code=0425489467
date=05-12-2024, time=11:35:28, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=11:35:30, id=18, deviceList=111111000000000000000000, readList=001110000000000000000000, code=0425489469
date=05-12-2024, time=11:35:32, id=18, deviceList=111111000000000000000000, readList=100000000000000000000000, code=0425489470
date=05-12-2024, time=11:35:35, id=18, deviceList=111111000000000000000000, readList=001100000000000000000000, code=0425489471
date=05-12-2024, time=11:37:43, id=18, deviceList=111111000000000000000000, readList=100000000000000000000000, code=0425489464
date=05-12-2024, time=11:37:56, id=18, deviceList=111111000000000000000000, readList=110000000000000000000000, code=0425489470
date=05-12-2024, time=11:39:29, id=18, deviceList=111111000000000000000000, readList=011110000000000000000000, code=0425485895
date=05-12-2024, time=11:40:12, id=18, deviceList=111111000000000000000000, readList=100000000000000000000000, code=0425489464
date=05-12-2024, time=11:43:02, id=18, deviceList=111111000000000000000000, readList=100000000000000000000000, code=0425489464
date=05-12-2024, time=11:49:18, id=18, deviceList=111111000000000000000000, readList=110010000000000000000000, code=0425490792
date=05-12-2024, time=11:53:35, id=18, deviceList=111111000000000000000000, readList=110011000000000000000000, code=0425490797
date=05-12-2024, time=12:02:33, id=18, deviceList=111111000000000000000000, readList=111000000000000000000000, code=0425492320
date=05-12-2024, time=12:03:12, id=18, deviceList=111111000000000000000000, readList=001010000000000000000000, code=0425488971
date=05-12-2024, time=12:03:43, id=18, deviceList=111111000000000000000000, readList=110001000000000000000000, code=0425488970
date=05-12-2024, time=12:04:46, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=12:04:49, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=12:04:51, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=12:04:54, id=18, deviceList=111111000000000000000000, readList=100000000000000000000000, code=0425398419
date=05-12-2024, time=12:04:56, id=18, deviceList=111111000000000000000000, readList=000010000000000000000000, code=0425475002
date=05-12-2024, time=12:04:58, id=18, deviceList=111111000000000000000000, readList=011000000000000000000000, code=0425475004
date=05-12-2024, time=12:05:02, id=18, deviceList=111111000000000000000000, readList=011011000000000000000000, code=0425475003
date=05-12-2024, time=12:05:04, id=18, deviceList=111111000000000000000000, readList=001011000000000000000000, code=0425490775
date=05-12-2024, time=12:05:07, id=18, deviceList=111111000000000000000000, readList=001010000000000000000000, code=0425490776
date=05-12-2024, time=12:05:10, id=18, deviceList=111111000000000000000000, readList=010000000000000000000000, code=0555443530
date=05-12-2024, time=12:05:14, id=18, deviceList=111111000000000000000000, readList=001000000000000000000000, code=0555443528
date=05-12-2024, time=12:05:17, id=18, deviceList=111111000000000000000000, readList=010001000000000000000000, code=0425475402
date=05-12-2024, time=12:05:19, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=12:05:22, id=18, deviceList=111111000000000000000000, readList=001001000000000000000000, code=0425490777
date=05-12-2024, time=12:05:26, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=12:05:28, id=18, deviceList=111111000000000000000000, readList=011011000000000000000000, code=0425490779
date=05-12-2024, time=12:05:32, id=18, deviceList=111111000000000000000000, readList=000011000000000000000000, code=0425490782
date=05-12-2024, time=12:05:34, id=18, deviceList=111111000000000000000000, readList=001100000000000000000000, code=0425490781
